"","X","Y","id","class.code","class.name","cells","mean.ndvi","phase.1","amplitude.1","phase.2","amplitude.2","min","max","height","slope","aspect","tpi","optional"
"1",-13.125,9.375,84,40,"Cropland",57160531,0.573333323001862,5.42831039428711,0.118742950260639,4.16597604751587,0.0863586962223053,0.456000000238419,0.710000038146973,20,0.0154019771143794,0.664307177066803,5.375,TRUE
"2",-16.25,12.5,172,10,"Forest",25405381,0.589014112949371,5.02066707611084,0.177176579833031,0.6500324010849,0.0299562867730856,0.439999997615814,0.779999971389771,24,0.00552352424710989,1.03796589374542,-1.625,TRUE
"3",-11.25,12.1875,309,10,"Forest",28585621,0.500105261802673,4.36383247375488,0.255348652601242,0.660533428192139,0.0314606539905071,0.312000006437302,0.76800000667572,235,0.0110306153073907,5.32505369186401,1.875,TRUE
"4",-14.375,11.5625,337,30,"Grassland",34932871,0.384064525365829,4.25941562652588,0.268708229064941,2.14687323570251,0.0413987301290035,0.291999995708466,0.583999991416931,74,0.0464191772043705,6.06789445877075,-2,TRUE
"5",-11.875,13.125,399,20,"Shrubland",19059391,0.355714291334152,4.43087434768677,0.26500540971756,2.75027871131897,0.0324217118322849,0.208000004291534,0.603999972343445,148,0.0518762469291687,1.09931647777557,-3.75,TRUE
"6",-11.5625,11.5625,580,10,"Forest",34935706,0.486746281385422,4.29655694961548,0.199970662593842,0.805933177471161,0.0242549888789654,0.331999987363815,0.685999989509583,757,0.0760122165083885,4.1678409576416,-1.375,TRUE
"7",-15.3125,11.875,675,80,"Water",31756726,-0.0529230758547783,1.5243753194809,0.168664872646332,3.53952383995056,0.0947191119194031,-0.0799999982118607,0.0320000015199184,2,5.51535504200729e-06,6.28318548202515,-0.375,TRUE
"8",-10.3125,10.3125,676,10,"Forest",47637766,0.624551713466644,3.72143745422363,0.0798369720578194,4.93002462387085,0.125404983758926,0.462000012397766,0.787999987602234,427,0.069640040397644,3.8267982006073,-1.625,TRUE
"9",-10.625,6.875,746,10,"Forest",82564651,0.763000011444092,6.08914613723755,0.0607515797019005,4.47089099884033,0.103434719145298,0.680000007152557,0.860000014305115,131,0.0499963983893394,2.2188880443573,3.375,TRUE
"10",-13.125,11.5625,762,10,"Forest",34934131,0.465830504894257,4.23794317245483,0.249457076191902,6.0397047996521,0.0300721023231745,0.301999986171722,0.695999979972839,190,0.0540330149233341,2.23239231109619,-3.875,TRUE
"11",-14.0625,10.625,808,10,"Forest",44458786,0.597857117652893,4.61329078674316,0.140392392873764,0.251295745372772,0.0253970921039581,0.48199999332428,0.736000001430511,344,0.218570172786713,3.72585558891296,5.625,TRUE
"12",-10.9375,8.75,880,30,"Grassland",63513136,0.662829279899597,3.94484996795654,0.0809860378503799,5.20417642593384,0.070987306535244,0.537999987602234,0.805999994277954,385,0.0568402484059334,4.50437641143799,-1.5,TRUE
"13",-14.375,14.375,919,20,"Shrubland",6356071,0.311626672744751,4.52591419219971,0.210147202014923,2.4815411567688,0.0942991971969604,0.187999993562698,0.562000036239624,51,2.12420354728238e-06,2.34364986419678,0,TRUE
"14",-13.75,12.5,1005,10,"Forest",25407901,0.408242434263229,4.32773733139038,0.257950156927109,2.45015287399292,0.0173186287283897,0.263999998569489,0.621999979019165,70,0.00774252880364656,3.46856093406677,-0.875,TRUE
"15",-11.5625,8.75,1059,20,"Shrubland",63512506,0.711441874504089,4.92006254196167,0.0526402518153191,4.57387256622314,0.0851181373000145,0.582000017166138,0.832000017166138,333,0.191619470715523,5.91631603240967,-12.5,TRUE
"16",-14.375,14.0625,1100,30,"Grassland",9531271,0.294411778450012,4.55606508255005,0.223084717988968,2.45455384254456,0.107764102518559,0.159999996423721,0.527999997138977,43,0.0247221644967794,1.11656510829926,1.5,TRUE
"17",-12.8125,8.75,1119,10,"Forest",63511246,0.649999976158142,5.9840841293335,0.132851779460907,3.92251014709473,0.0716541111469269,0.523999989032745,0.740000009536743,26,0.0709832385182381,4.54248714447021,2.125,TRUE
"18",-11.5625,12.8125,1133,30,"Grassland",22234906,0.369633793830872,4.41488409042358,0.290248572826385,2.3182213306427,0.0272062327712774,0.200000002980232,0.656000018119812,137,0.0227595735341311,1.25455403327942,-0.5,TRUE
"19",-12.1875,9.6875,1186,10,"Forest",53986276,0.552595734596252,4.39581918716431,0.0856382176280022,4.63596868515015,0.152084201574326,0.34400001168251,0.759999990463257,91,0.0494656153023243,1.72003948688507,-0.25,TRUE
"20",-13.75,11.25,1224,30,"Grassland",38108701,0.589225828647614,4.38550138473511,0.177408009767532,0.101121477782726,0.0276875756680965,0.435999989509583,0.772000014781952,256,0.0612196624279022,2.05946111679077,-7.5,TRUE
"21",-11.875,13.75,1326,10,"Forest",12708991,0.351176470518112,4.31701707839966,0.266645878553391,1.88869047164917,0.0963978245854378,0.216000005602837,0.596000015735626,185,0.153230667114258,3.43280267715454,2.875,TRUE
"22",-15,11.5625,1480,10,"Forest",34932241,0.688965499401093,5.61440658569336,0.0975621119141579,4.80969429016113,0.0266655962914228,0.567999958992004,0.800000011920929,47,0.027119867503643,0.0440532490611076,1.875,TRUE
"23",-11.875,14.375,1701,10,"Forest",6358591,0.276050627231598,4.45034980773926,0.165434569120407,2.32927227020264,0.0993334874510765,0.167999997735023,0.479999989271164,82,0.0077760866843164,0.994317948818207,-0.375,TRUE
"24",-12.8125,10.9375,1815,20,"Shrubland",41284846,0.575345456600189,4.40400218963623,0.178375720977783,5.14630889892578,0.0271092243492603,0.451999992132187,0.76800000667572,688,0.131968542933464,1.47542989253998,2,TRUE
"25",-15.9375,12.5,1924,10,"Forest",25405696,0.545589029788971,4.75089645385742,0.222366318106651,0.379420220851898,0.017173470929265,0.354000002145767,0.797999978065491,37,0.00542812561616302,3.14159274101257,-0.375,TRUE
"26",-12.1875,12.5,1948,20,"Shrubland",25409476,0.355362325906754,4.20791816711426,0.272039115428925,1.74258410930634,0.0679589211940765,0.216000005602837,0.603999972343445,168,0.0154776927083731,0.669431149959564,0.375,TRUE
"27",-14.0625,14.0625,2027,10,"Forest",9531586,0.290898561477661,4.55609035491943,0.190532386302948,2.52380466461182,0.0709420219063759,0.175999999046326,0.483999997377396,50,0.00776821235194802,4.18237113952637,0.75,TRUE
"28",-15.625,13.125,2100,10,"Forest",19055611,0.392753630876541,5.01210594177246,0.296587079763412,3.66228270530701,0.100305750966072,0.208000004291534,0.779999971389771,44,0.00553269404917955,4.71238899230957,-1.125,TRUE
"29",-10.3125,7.5,2212,10,"Forest",76214566,0.739130437374115,0.838137149810791,0.800123512744904,4.88393688201904,0.341047674417496,0.579999983310699,0.851999998092651,387,0.0500796139240265,4.85402393341064,-2,TRUE
"30",-10.3125,9.0625,2281,10,"Forest",60338566,0.613333344459534,4.25998210906982,0.193047195672989,4.2656774520874,0.0419049635529518,0.474000006914139,0.808000028133392,545,0.152658551931381,0.732804894447327,-2.25,TRUE
"31",-15.625,14.0625,2370,30,"Grassland",9530011,0.236153841018677,4.68703508377075,0.166049689054489,2.84812593460083,0.0969428196549416,0.143999993801117,0.467999994754791,27,0.0121916243806481,5.95425415039062,1.375,TRUE
"32",-14.375,13.125,2439,10,"Forest",19056871,0.39683872461319,4.61937046051025,0.255504369735718,3.11055636405945,0.0153199164196849,0.247999995946884,0.624000012874603,58,0.00543143833056092,3.93686676025391,1.625,TRUE
"33",-15.625,13.75,2785,40,"Cropland",12705211,0.30254054069519,4.71506214141846,0.206916272640228,2.91309142112732,0.125356078147888,0.175999999046326,0.601999998092651,12,0.00542763900011778,5.48660802841187,-0.125,TRUE
"34",-12.5,14.375,2790,10,"Forest",6357961,0.262857139110565,4.44972515106201,0.212474316358566,2.21870040893555,0.116245329380035,0.159999996423721,0.432000011205673,129,0.0330118015408516,0.250948399305344,0.5,TRUE
